dataset,model,state,mean,mean_CI95,var,var_CI95,param1,param1_CI95,param2,param2_CI95,param3,param3_CI95
onset-to-diagnosis,Weibull,CE,10.8,"(10.49, 11.13)",48.09,"(44.64, 51.87)",1.6,"(1.54, 1.65)",12.05,"(11.69, 12.42)",,
onset-to-diagnosis,Weibull,DF,7.83,"(7.24, 8.45)",30.22,"(24.77, 37.23)",1.45,"(1.33, 1.58)",8.63,"(7.96, 9.32)",,
onset-to-diagnosis,Weibull,ES,9.35,"(8.55, 10.2)",55.74,"(45.04, 69.27)",1.26,"(1.16, 1.37)",10.05,"(9.16, 11.02)",,
onset-to-diagnosis,Weibull,GO,8.96,"(8.01, 9.99)",32.09,"(24.35, 43.05)",1.63,"(1.44, 1.83)",10.0,"(8.94, 11.17)",,
onset-to-diagnosis,Weibull,MA,10.84,"(10.32, 11.38)",59.79,"(53.26, 67.7)",1.42,"(1.35, 1.49)",11.92,"(11.32, 12.53)",,
onset-to-diagnosis,Weibull,MG,10.73,"(10.18, 11.32)",54.86,"(48.24, 62.45)",1.48,"(1.4, 1.56)",11.86,"(11.23, 12.53)",,
onset-to-diagnosis,Weibull,MS,9.44,"(8.44, 10.58)",38.02,"(28.62, 51.26)",1.57,"(1.39, 1.77)",10.5,"(9.35, 11.76)",,
onset-to-diagnosis,Weibull,MT,10.43,"(10.18, 10.69)",35.81,"(33.69, 38.06)",1.8,"(1.75, 1.86)",11.73,"(11.44, 12.03)",,
onset-to-diagnosis,Weibull,PA,11.64,"(11.26, 12.04)",52.46,"(48.39, 56.9)",1.65,"(1.59, 1.71)",13.01,"(12.59, 13.47)",,
onset-to-diagnosis,Weibull,PB,9.76,"(9.24, 10.31)",44.6,"(38.7, 51.64)",1.49,"(1.4, 1.57)",10.8,"(10.21, 11.42)",,
onset-to-diagnosis,Weibull,PE,10.07,"(9.14, 11.07)",46.12,"(36.53, 58.77)",1.52,"(1.37, 1.66)",11.17,"(10.11, 12.27)",,
onset-to-diagnosis,Weibull,PI,8.91,"(8.06, 9.87)",51.2,"(39.55, 66.46)",1.26,"(1.14, 1.38)",9.58,"(8.61, 10.63)",,
onset-to-diagnosis,Weibull,PR,11.05,"(9.91, 12.25)",46.51,"(35.87, 60.7)",1.67,"(1.49, 1.87)",12.36,"(11.06, 13.74)",,
onset-to-diagnosis,Weibull,RJ,11.53,"(11.1, 11.99)",76.17,"(69.03, 84.4)",1.34,"(1.28, 1.39)",12.55,"(12.05, 13.06)",,
onset-to-diagnosis,Weibull,RN,9.22,"(8.76, 9.7)",32.46,"(28.42, 37.3)",1.67,"(1.57, 1.77)",10.32,"(9.78, 10.85)",,
onset-to-diagnosis,Weibull,RO,5.99,"(5.39, 6.67)",29.09,"(22.28, 38.06)",1.12,"(1.02, 1.22)",6.24,"(5.58, 6.95)",,
onset-to-diagnosis,Weibull,RR,3.71,"(2.84, 4.92)",22.38,"(11.52, 44.4)",0.81,"(0.69, 0.93)",3.28,"(2.46, 4.33)",,
onset-to-diagnosis,Weibull,RS,9.73,"(9.1, 10.37)",52.94,"(44.9, 63.15)",1.35,"(1.26, 1.44)",10.61,"(9.89, 11.33)",,
onset-to-diagnosis,Weibull,SC,9.35,"(8.7, 10.05)",42.19,"(35.3, 50.57)",1.47,"(1.37, 1.57)",10.33,"(9.59, 11.11)",,
onset-to-diagnosis,Weibull,SE,7.11,"(6.02, 8.43)",41.82,"(27.49, 65.75)",1.11,"(0.97, 1.26)",7.38,"(6.17, 8.71)",,
onset-to-diagnosis,Weibull,SP,12.19,"(11.94, 12.45)",77.47,"(73.44, 81.61)",1.4,"(1.38, 1.43)",13.38,"(13.1, 13.67)",,
onset-to-diagnosis,Weibull,TO,9.43,"(7.9, 11.26)",44.26,"(28.05, 71.9)",1.46,"(1.23, 1.71)",10.39,"(8.66, 12.41)",,
onset-to-diagnosis,Weibull,Brazil,10.64,"(10.54, 10.75)",56.64,"(55.24, 58.02)",1.44,"(1.42, 1.45)",11.72,"(11.6, 11.84)",,
onset-to-diagnosis,Log-normal,AC,17.08,"(7.4, 35.8)",528.83,"(45.54, 2546.38)",2.35,"(1.58, 3.18)",0.89,"(0.61, 1.2)",,
onset-to-diagnosis,Log-normal,AL,14.14,"(13.25, 15.12)",96.09,"(74.36, 123.12)",2.45,"(2.39, 2.51)",0.62,"(0.58, 0.67)",,
onset-to-diagnosis,Log-normal,AM,11.14,"(10.67, 11.66)",111.88,"(95.95, 131.59)",2.09,"(2.05, 2.13)",0.8,"(0.77, 0.83)",,
onset-to-diagnosis,Log-normal,AP,9.48,"(8.11, 11.22)",116.09,"(65.72, 201.98)",1.84,"(1.71, 1.98)",0.9,"(0.81, 1.0)",,
onset-to-diagnosis,Log-normal,BA,9.86,"(8.62, 11.28)",194.19,"(122.09, 300.7)",1.74,"(1.63, 1.85)",1.04,"(0.97, 1.12)",,
onset-to-diagnosis,Log-normal,CE,11.86,"(11.35, 12.39)",130.76,"(112.43, 151.4)",2.14,"(2.11, 2.18)",0.81,"(0.78, 0.84)",,
onset-to-diagnosis,Log-normal,DF,8.82,"(7.85, 9.94)",107.9,"(71.33, 161.44)",1.74,"(1.65, 1.84)",0.93,"(0.86, 1.0)",,
onset-to-diagnosis,Log-normal,ES,10.68,"(9.32, 12.26)",214.47,"(136.07, 334.6)",1.84,"(1.73, 1.96)",1.02,"(0.95, 1.1)",,
onset-to-diagnosis,Log-normal,GO,9.62,"(8.29, 11.23)",79.4,"(45.17, 138.33)",1.96,"(1.82, 2.09)",0.78,"(0.69, 0.88)",,
onset-to-diagnosis,Log-normal,MA,11.82,"(11.0, 12.68)",155.39,"(121.38, 198.39)",2.1,"(2.04, 2.15)",0.86,"(0.82, 0.91)",,
onset-to-diagnosis,Log-normal,MG,11.26,"(10.53, 12.06)",97.14,"(75.83, 124.13)",2.14,"(2.08, 2.2)",0.75,"(0.71, 0.8)",,
onset-to-diagnosis,Log-normal,MS,10.49,"(8.91, 12.55)",120.38,"(67.01, 214.74)",1.99,"(1.84, 2.13)",0.85,"(0.76, 0.96)",,
onset-to-diagnosis,Log-normal,MT,11.44,"(11.05, 11.83)",95.9,"(84.55, 108.54)",2.16,"(2.13, 2.19)",0.74,"(0.72, 0.76)",,
onset-to-diagnosis,Log-normal,PA,12.25,"(11.75, 12.79)",98.06,"(84.12, 114.42)",2.25,"(2.22, 2.29)",0.71,"(0.68, 0.74)",,
onset-to-diagnosis,Log-normal,PB,10.45,"(9.74, 11.24)",103.93,"(81.05, 133.96)",2.01,"(1.95, 2.08)",0.82,"(0.77, 0.86)",,
onset-to-diagnosis,Log-normal,PE,11.08,"(9.64, 12.77)",126.55,"(79.38, 202.91)",2.05,"(1.94, 2.17)",0.83,"(0.76, 0.92)",,
onset-to-diagnosis,Log-normal,PI,10.22,"(8.76, 12.0)",209.04,"(122.49, 348.61)",1.78,"(1.65, 1.91)",1.04,"(0.96, 1.13)",,
onset-to-diagnosis,Log-normal,PR,11.61,"(10.21, 13.27)",82.21,"(49.77, 134.44)",2.21,"(2.1, 2.33)",0.68,"(0.6, 0.77)",,
onset-to-diagnosis,Log-normal,RJ,13.55,"(12.73, 14.44)",329.22,"(263.98, 406.4)",2.09,"(2.04, 2.15)",1.01,"(0.98, 1.05)",,
onset-to-diagnosis,Log-normal,RN,10.58,"(9.77, 11.53)",131.51,"(98.78, 177.13)",1.97,"(1.9, 2.04)",0.88,"(0.83, 0.93)",,
onset-to-diagnosis,Log-normal,RO,6.73,"(5.76, 7.93)",112.02,"(65.04, 188.13)",1.29,"(1.17, 1.42)",1.11,"(1.03, 1.19)",,
onset-to-diagnosis,Log-normal,RR,3.46,"(2.52, 4.85)",45.81,"(15.62, 121.68)",0.48,"(0.24, 0.73)",1.22,"(1.08, 1.37)",,
onset-to-diagnosis,Log-normal,RS,11.01,"(9.91, 12.26)",187.9,"(131.2, 265.99)",1.93,"(1.84, 2.02)",0.96,"(0.91, 1.02)",,
onset-to-diagnosis,Log-normal,SC,10.06,"(9.13, 11.12)",95.26,"(67.34, 136.46)",1.98,"(1.9, 2.06)",0.81,"(0.75, 0.87)",,
onset-to-diagnosis,Log-normal,SE,8.08,"(6.28, 10.58)",192.81,"(81.06, 437.41)",1.42,"(1.22, 1.63)",1.15,"(1.03, 1.29)",,
onset-to-diagnosis,Log-normal,SP,13.11,"(12.75, 13.49)",182.59,"(165.81, 201.07)",2.21,"(2.19, 2.24)",0.85,"(0.83, 0.87)",,
onset-to-diagnosis,Log-normal,TO,10.46,"(8.07, 13.7)",152.72,"(60.63, 366.38)",1.92,"(1.69, 2.16)",0.91,"(0.77, 1.07)",,
onset-to-diagnosis,Log-normal,Brazil,11.91,"(11.75, 12.08)",163.7,"(156.1, 172.01)",2.09,"(2.08, 2.11)",0.88,"(0.87, 0.88)",,
onset-to-diagnosis,Gen. Gamma,AC,13.21,"(7.21, 21.04)",80.79,"(30.74, 170.24)",8.15,"(5.76, 10.86)",2.01,"(1.14, 2.94)",1.14,"(1.01, 1.36)"
onset-to-diagnosis,Gen. Gamma,AL,13.64,"(12.94, 14.39)",57.75,"(49.27, 67.98)",7.54,"(5.64, 9.55)",2.66,"(2.34, 3.03)",1.23,"(1.09, 1.39)"
onset-to-diagnosis,Gen. Gamma,AM,10.44,"(10.09, 10.79)",51.06,"(46.49, 56.29)",5.84,"(4.91, 7.12)",2.01,"(1.84, 2.17)",1.07,"(1.0, 1.16)"
onset-to-diagnosis,Gen. Gamma,AP,8.57,"(7.64, 9.58)",39.53,"(29.27, 53.3)",7.19,"(5.34, 9.17)",1.58,"(1.3, 1.9)",1.2,"(1.04, 1.4)"
onset-to-diagnosis,Gen. Gamma,BA,8.6,"(7.87, 9.36)",51.94,"(42.04, 64.31)",7.67,"(6.1, 9.52)",1.3,"(1.14, 1.48)",1.11,"(1.01, 1.24)"
onset-to-diagnosis,Gen. Gamma,CE,10.8,"(10.47, 11.12)",47.98,"(44.01, 52.24)",8.23,"(6.93, 9.57)",1.93,"(1.78, 2.09)",1.28,"(1.17, 1.38)"
onset-to-diagnosis,Gen. Gamma,DF,7.77,"(7.17, 8.41)",31.32,"(25.31, 38.96)",7.32,"(5.62, 9.13)",1.53,"(1.32, 1.75)",1.29,"(1.12, 1.5)"
onset-to-diagnosis,Gen. Gamma,ES,9.23,"(8.47, 10.08)",55.64,"(44.32, 69.15)",8.02,"(6.37, 9.86)",1.38,"(1.21, 1.57)",1.13,"(1.01, 1.28)"
onset-to-diagnosis,Gen. Gamma,GO,8.93,"(7.98, 9.97)",33.72,"(24.78, 46.12)",6.86,"(4.99, 8.72)",1.91,"(1.57, 2.3)",1.27,"(1.08, 1.49)"
onset-to-diagnosis,Gen. Gamma,MA,10.82,"(10.3, 11.35)",59.74,"(52.5, 68.2)",7.26,"(5.78, 8.9)",1.78,"(1.6, 1.97)",1.11,"(1.01, 1.22)"
onset-to-diagnosis,Gen. Gamma,MG,10.74,"(10.18, 11.33)",50.3,"(43.26, 58.61)",5.79,"(4.63, 7.26)",2.14,"(1.9, 2.4)",1.08,"(1.0, 1.18)"
onset-to-diagnosis,Gen. Gamma,MS,9.39,"(8.36, 10.5)",39.72,"(29.41, 54.05)",7.33,"(5.44, 9.23)",1.82,"(1.51, 2.18)",1.25,"(1.07, 1.46)"
onset-to-diagnosis,Gen. Gamma,MT,10.45,"(10.21, 10.7)",35.03,"(32.67, 37.48)",8.48,"(7.43, 9.53)",2.19,"(2.05, 2.35)",1.46,"(1.36, 1.57)"
onset-to-diagnosis,Gen. Gamma,PA,11.64,"(11.29, 12.01)",50.25,"(45.91, 55.38)",6.19,"(4.82, 7.58)",2.39,"(2.18, 2.62)",1.14,"(1.03, 1.24)"
onset-to-diagnosis,Gen. Gamma,PB,9.74,"(9.24, 10.25)",44.4,"(38.53, 51.47)",6.74,"(5.08, 8.4)",1.86,"(1.65, 2.08)",1.16,"(1.03, 1.3)"
onset-to-diagnosis,Gen. Gamma,PE,10.07,"(9.18, 11.07)",45.93,"(35.68, 58.86)",7.28,"(5.43, 9.27)",1.87,"(1.58, 2.2)",1.2,"(1.05, 1.37)"
onset-to-diagnosis,Gen. Gamma,PI,8.73,"(7.9, 9.62)",50.52,"(39.82, 64.75)",7.9,"(6.16, 9.83)",1.34,"(1.16, 1.54)",1.14,"(1.02, 1.3)"
onset-to-diagnosis,Gen. Gamma,PR,11.13,"(10.03, 12.3)",46.43,"(34.42, 63.09)",7.09,"(5.09, 9.07)",2.23,"(1.84, 2.7)",1.22,"(1.05, 1.41)"
onset-to-diagnosis,Gen. Gamma,RJ,11.45,"(11.02, 11.92)",77.09,"(69.5, 85.97)",10.39,"(8.51, 12.33)",1.44,"(1.32, 1.56)",1.2,"(1.08, 1.33)"
onset-to-diagnosis,Gen. Gamma,RN,9.15,"(8.65, 9.66)",33.99,"(29.16, 39.72)",8.85,"(7.2, 10.67)",1.74,"(1.55, 1.95)",1.47,"(1.28, 1.7)"
onset-to-diagnosis,Gen. Gamma,RO,5.92,"(5.35, 6.55)",28.36,"(22.02, 36.56)",7.07,"(5.35, 8.85)",1.05,"(0.91, 1.22)",1.2,"(1.03, 1.41)"
onset-to-diagnosis,Gen. Gamma,RR,3.73,"(2.94, 4.61)",19.83,"(12.03, 31.01)",6.52,"(4.66, 8.57)",0.65,"(0.51, 0.8)",1.12,"(1.01, 1.3)"
onset-to-diagnosis,Gen. Gamma,RS,9.66,"(9.04, 10.32)",53.78,"(45.36, 64.18)",8.03,"(6.33, 9.87)",1.51,"(1.34, 1.69)",1.16,"(1.03, 1.31)"
onset-to-diagnosis,Gen. Gamma,SC,9.36,"(8.7, 10.04)",40.51,"(33.39, 48.98)",6.43,"(4.76, 8.18)",1.88,"(1.63, 2.16)",1.16,"(1.03, 1.31)"
onset-to-diagnosis,Gen. Gamma,SE,6.75,"(5.78, 7.9)",38.11,"(26.69, 54.13)",7.69,"(5.88, 9.7)",1.06,"(0.87, 1.28)",1.16,"(1.01, 1.35)"
onset-to-diagnosis,Gen. Gamma,SP,12.16,"(11.91, 12.42)",77.56,"(73.23, 82.06)",6.84,"(6.31, 7.7)",1.86,"(1.78, 1.94)",1.03,"(1.0, 1.08)"
onset-to-diagnosis,Gen. Gamma,TO,9.21,"(7.61, 11.07)",44.14,"(28.26, 68.41)",7.33,"(5.38, 9.52)",1.67,"(1.28, 2.1)",1.2,"(1.03, 1.4)"
onset-to-diagnosis,Gen. Gamma,Brazil,10.76,"(10.66, 10.87)",58.16,"(56.57, 59.8)",7.48,"(6.94, 8.05)",1.77,"(1.72, 1.82)",1.13,"(1.09, 1.17)"
onset-to-diagnosis,Gen. Log-normal,AC,55.53,"(9.26, 108.72)",165354.05,"(2.73, 84912.34)",2.74,"(1.73, 3.49)",0.6,"(0.06, 1.39)",2.04,"(1.03, 4.16)"
onset-to-diagnosis,Gen. Log-normal,AL,14.35,"(13.47, 15.44)",156.97,"(91.0, 309.59)",2.47,"(2.41, 2.52)",0.34,"(0.25, 0.42)",1.25,"(1.07, 1.44)"
onset-to-diagnosis,Gen. Log-normal,AM,13.23,"(12.62, 13.87)",,,2.24,"(2.21, 2.26)",0.27,"(0.26, 0.29)",1.01,"(1.0, 1.03)"
onset-to-diagnosis,Gen. Log-normal,AP,10.24,"(8.45, 12.84)",491.87,"(90.9, 2442.45)",1.88,"(1.74, 2.03)",0.59,"(0.4, 0.81)",1.41,"(1.1, 1.77)"
onset-to-diagnosis,Gen. Log-normal,BA,16.65,"(13.01, 23.09)",,,2.02,"(1.95, 2.08)",0.42,"(0.36, 0.52)",1.05,"(1.0, 1.17)"
onset-to-diagnosis,Gen. Log-normal,CE,13.63,"(12.87, 14.58)",,,2.29,"(2.25, 2.35)",0.27,"(0.25, 0.28)",1.01,"(1.0, 1.02)"
onset-to-diagnosis,Gen. Log-normal,DF,12.24,"(10.15, 15.15)",,,1.96,"(1.86, 2.05)",0.38,"(0.31, 0.49)",1.07,"(1.0, 1.22)"
onset-to-diagnosis,Gen. Log-normal,ES,16.86,"(13.57, 22.21)",,,2.11,"(2.03, 2.17)",0.39,"(0.34, 0.47)",1.04,"(1.0, 1.13)"
onset-to-diagnosis,Gen. Log-normal,GO,11.14,"(9.38, 13.68)",386.51,"(71.54, 1723.47)",2.08,"(1.97, 2.19)",0.37,"(0.26, 0.56)",1.17,"(1.01, 1.51)"
onset-to-diagnosis,Gen. Log-normal,MA,14.29,"(13.24, 15.51)",,,2.25,"(2.21, 2.27)",0.3,"(0.28, 0.34)",1.02,"(1.0, 1.06)"
onset-to-diagnosis,Gen. Log-normal,MG,12.36,"(11.68, 13.12)",,,2.24,"(2.21, 2.27)",0.25,"(0.23, 0.28)",1.01,"(1.0, 1.05)"
onset-to-diagnosis,Gen. Log-normal,MS,13.49,"(10.92, 17.18)",1002.73,"(149.15, 4578.62)",2.19,"(2.05, 2.3)",0.36,"(0.27, 0.53)",1.1,"(1.0, 1.36)"
onset-to-diagnosis,Gen. Log-normal,MT,12.28,"(11.82, 13.07)",300.61,"(222.66, 380.51)",2.28,"(2.25, 2.33)",0.23,"(0.22, 0.24)",1.0,"(1.0, 1.01)"
onset-to-diagnosis,Gen. Log-normal,PA,13.32,"(12.96, 13.75)",372.35,"(254.29, 519.66)",2.35,"(2.34, 2.36)",0.23,"(0.22, 0.25)",1.01,"(1.0, 1.03)"
onset-to-diagnosis,Gen. Log-normal,PB,12.69,"(11.68, 14.08)",,,2.16,"(2.12, 2.23)",0.32,"(0.28, 0.39)",1.05,"(1.0, 1.16)"
onset-to-diagnosis,Gen. Log-normal,PE,13.59,"(11.68, 16.15)",836.8,"(199.35, 2810.07)",2.24,"(2.14, 2.33)",0.32,"(0.26, 0.41)",1.06,"(1.0, 1.21)"
onset-to-diagnosis,Gen. Log-normal,PI,16.74,"(12.5, 24.59)",,,2.04,"(1.92, 2.14)",0.44,"(0.35, 0.6)",1.08,"(1.0, 1.26)"
onset-to-diagnosis,Gen. Log-normal,PR,12.01,"(10.77, 13.68)",200.81,"(64.69, 602.75)",2.26,"(2.17, 2.34)",0.28,"(0.21, 0.41)",1.11,"(1.0, 1.36)"
onset-to-diagnosis,Gen. Log-normal,RJ,19.81,"(18.19, 21.82)",,,2.36,"(2.34, 2.38)",0.35,"(0.33, 0.37)",1.01,"(1.0, 1.02)"
onset-to-diagnosis,Gen. Log-normal,RN,12.69,"(11.67, 14.05)",,,2.16,"(2.12, 2.22)",0.29,"(0.27, 0.32)",1.01,"(1.0, 1.05)"
onset-to-diagnosis,Gen. Log-normal,RO,5.13,"(4.59, 5.89)",31.01,"(22.4, 47.64)",1.09,"(0.99, 1.21)",1.66,"(1.42, 1.81)",5.24,"(3.13, 7.44)"
onset-to-diagnosis,Gen. Log-normal,RR,3.82,"(3.03, 4.81)",20.37,"(11.55, 37.65)",0.72,"(0.49, 0.91)",1.74,"(1.47, 1.94)",4.96,"(2.86, 7.61)"
onset-to-diagnosis,Gen. Log-normal,RS,15.3,"(13.28, 18.05)",,,2.15,"(2.09, 2.22)",0.36,"(0.32, 0.42)",1.03,"(1.0, 1.11)"
onset-to-diagnosis,Gen. Log-normal,SC,12.32,"(11.21, 13.81)",,,2.15,"(2.11, 2.21)",0.3,"(0.26, 0.36)",1.04,"(1.0, 1.13)"
onset-to-diagnosis,Gen. Log-normal,SE,6.68,"(4.97, 11.32)",332.2,"(30.33, 909.87)",1.23,"(1.01, 1.61)",1.54,"(0.91, 1.87)",3.51,"(1.52, 5.67)"
onset-to-diagnosis,Gen. Log-normal,SP,16.09,"(15.61, 16.61)",,,2.35,"(2.34, 2.35)",0.3,"(0.29, 0.31)",1.01,"(1.0, 1.02)"
onset-to-diagnosis,Gen. Log-normal,TO,12.85,"(8.9, 20.95)",1586.42,"(77.32, 10051.49)",2.04,"(1.8, 2.27)",0.54,"(0.31, 0.88)",1.31,"(1.01, 1.89)"
onset-to-diagnosis,Gen. Log-normal,Brazil,14.51,"(14.29, 14.74)",,,2.25,"(2.25, 2.25)",0.29,"(0.29, 0.3)",1.0,"(1.0, 1.0)"
onset-to-hospital-admission,Gamma,AC,8.56,"(7.95, 9.23)",26.63,"(22.36, 31.91)",2.77,"(2.45, 3.1)",0.32,"(0.28, 0.37)",,
onset-to-hospital-admission,Gamma,AL,8.27,"(8.01, 8.52)",26.26,"(24.11, 28.55)",2.6,"(2.45, 2.76)",0.32,"(0.29, 0.34)",,
onset-to-hospital-admission,Gamma,AM,9.37,"(9.22, 9.52)",36.77,"(35.15, 38.47)",2.39,"(2.31, 2.47)",0.25,"(0.25, 0.26)",,
onset-to-hospital-admission,Gamma,AP,7.96,"(7.42, 8.55)",25.12,"(21.12, 30.14)",2.53,"(2.24, 2.82)",0.32,"(0.28, 0.36)",,
onset-to-hospital-admission,Gamma,BA,7.59,"(7.45, 7.74)",24.13,"(22.9, 25.44)",2.39,"(2.3, 2.48)",0.31,"(0.3, 0.33)",,
onset-to-hospital-admission,Gamma,CE,8.84,"(8.73, 8.95)",29.72,"(28.64, 30.83)",2.63,"(2.56, 2.7)",0.3,"(0.29, 0.31)",,
onset-to-hospital-admission,Gamma,DF,7.76,"(7.59, 7.94)",21.25,"(19.94, 22.68)",2.84,"(2.71, 2.97)",0.37,"(0.35, 0.38)",,
onset-to-hospital-admission,Gamma,ES,7.7,"(7.47, 7.95)",23.56,"(21.58, 25.74)",2.52,"(2.36, 2.69)",0.33,"(0.3, 0.35)",,
onset-to-hospital-admission,Gamma,GO,7.03,"(6.84, 7.22)",17.4,"(16.07, 18.84)",2.84,"(2.68, 3.01)",0.4,"(0.38, 0.43)",,
onset-to-hospital-admission,Gamma,MA,9.15,"(8.87, 9.44)",33.97,"(31.15, 37.24)",2.47,"(2.31, 2.62)",0.27,"(0.25, 0.29)",,
onset-to-hospital-admission,Gamma,MG,7.23,"(7.11, 7.36)",20.27,"(19.27, 21.3)",2.58,"(2.49, 2.68)",0.36,"(0.34, 0.37)",,
onset-to-hospital-admission,Gamma,MS,6.7,"(6.41, 7.0)",16.62,"(14.77, 18.68)",2.71,"(2.49, 2.94)",0.4,"(0.37, 0.44)",,
onset-to-hospital-admission,Gamma,MT,7.6,"(7.38, 7.85)",18.97,"(17.3, 20.74)",3.05,"(2.85, 3.26)",0.4,"(0.37, 0.43)",,
onset-to-hospital-admission,Gamma,PA,8.83,"(8.72, 8.95)",30.77,"(29.6, 32.01)",2.54,"(2.46, 2.61)",0.29,"(0.28, 0.3)",,
onset-to-hospital-admission,Gamma,PB,7.98,"(7.76, 8.22)",26.74,"(24.67, 28.98)",2.38,"(2.25, 2.52)",0.3,"(0.28, 0.32)",,
onset-to-hospital-admission,Gamma,PE,7.38,"(7.25, 7.5)",24.98,"(23.88, 26.18)",2.18,"(2.11, 2.25)",0.3,"(0.28, 0.31)",,
onset-to-hospital-admission,Gamma,PI,7.8,"(7.6, 8.0)",23.16,"(21.55, 24.92)",2.63,"(2.5, 2.77)",0.34,"(0.32, 0.36)",,
onset-to-hospital-admission,Gamma,PR,6.99,"(6.84, 7.14)",17.56,"(16.48, 18.66)",2.78,"(2.66, 2.92)",0.4,"(0.38, 0.42)",,
onset-to-hospital-admission,Gamma,RJ,7.22,"(7.16, 7.29)",22.38,"(21.78, 23.0)",2.33,"(2.29, 2.37)",0.32,"(0.32, 0.33)",,
onset-to-hospital-admission,Gamma,RN,8.92,"(8.68, 9.18)",29.62,"(27.37, 32.0)",2.69,"(2.54, 2.84)",0.3,"(0.28, 0.32)",,
onset-to-hospital-admission,Gamma,RO,7.32,"(6.92, 7.74)",25.2,"(21.87, 29.13)",2.13,"(1.92, 2.34)",0.29,"(0.26, 0.32)",,
onset-to-hospital-admission,Gamma,RR,8.1,"(7.18, 9.09)",26.69,"(20.69, 34.4)",2.48,"(2.12, 2.84)",0.31,"(0.25, 0.36)",,
onset-to-hospital-admission,Gamma,RS,6.77,"(6.63, 6.9)",16.1,"(15.17, 17.09)",2.85,"(2.72, 2.97)",0.42,"(0.4, 0.44)",,
onset-to-hospital-admission,Gamma,SC,7.01,"(6.8, 7.21)",17.54,"(16.15, 18.99)",2.8,"(2.64, 2.97)",0.4,"(0.37, 0.43)",,
onset-to-hospital-admission,Gamma,SE,7.5,"(7.18, 7.83)",25.79,"(23.08, 28.79)",2.18,"(2.02, 2.35)",0.29,"(0.27, 0.32)",,
onset-to-hospital-admission,Gamma,SP,7.17,"(7.14, 7.21)",19.46,"(19.17, 19.75)",2.64,"(2.61, 2.67)",0.37,"(0.36, 0.37)",,
onset-to-hospital-admission,Gamma,TO,8.04,"(7.65, 8.45)",22.26,"(19.42, 25.54)",2.91,"(2.64, 3.2)",0.36,"(0.33, 0.4)",,
onset-to-hospital-admission,Gamma,Brazil,7.59,"(7.57, 7.62)",23.03,"(22.81, 23.25)",2.5,"(2.49, 2.52)",0.33,"(0.33, 0.33)",,
onset-to-hospital-admission,Weibull,AC,8.52,"(7.84, 9.28)",34.32,"(28.43, 41.42)",1.48,"(1.38, 1.59)",9.43,"(8.65, 10.28)",,
onset-to-hospital-admission,Weibull,AL,8.32,"(8.05, 8.59)",31.47,"(29.12, 34.01)",1.51,"(1.46, 1.56)",9.22,"(8.92, 9.53)",,
onset-to-hospital-admission,Weibull,AM,9.43,"(9.26, 9.6)",42.77,"(41.08, 44.5)",1.47,"(1.44, 1.49)",10.42,"(10.22, 10.61)",,
onset-to-hospital-admission,Weibull,AP,7.97,"(7.43, 8.54)",26.82,"(22.57, 31.93)",1.58,"(1.47, 1.69)",8.87,"(8.26, 9.51)",,
onset-to-hospital-admission,Weibull,BA,7.66,"(7.5, 7.82)",27.84,"(26.51, 29.25)",1.48,"(1.45, 1.51)",8.47,"(8.29, 8.65)",,
onset-to-hospital-admission,Weibull,CE,8.88,"(8.77, 8.99)",32.19,"(31.2, 33.24)",1.6,"(1.58, 1.62)",9.9,"(9.78, 10.03)",,
onset-to-hospital-admission,Weibull,DF,7.8,"(7.61, 8.0)",25.23,"(23.79, 26.84)",1.59,"(1.55, 1.63)",8.69,"(8.47, 8.93)",,
onset-to-hospital-admission,Weibull,ES,7.76,"(7.5, 8.03)",26.66,"(24.59, 28.93)",1.53,"(1.48, 1.59)",8.62,"(8.32, 8.93)",,
onset-to-hospital-admission,Weibull,GO,7.05,"(6.86, 7.25)",18.14,"(16.97, 19.4)",1.7,"(1.65, 1.76)",7.9,"(7.69, 8.13)",,
onset-to-hospital-admission,Weibull,MA,9.18,"(8.86, 9.49)",38.85,"(35.86, 42.21)",1.5,"(1.45, 1.55)",10.17,"(9.81, 10.52)",,
onset-to-hospital-admission,Weibull,MG,7.29,"(7.15, 7.43)",24.48,"(23.39, 25.63)",1.5,"(1.47, 1.53)",8.08,"(7.92, 8.24)",,
onset-to-hospital-admission,Weibull,MS,6.72,"(6.42, 7.02)",17.45,"(15.63, 19.54)",1.65,"(1.57, 1.73)",7.51,"(7.17, 7.86)",,
onset-to-hospital-admission,Weibull,MT,7.59,"(7.36, 7.82)",19.52,"(18.01, 21.09)",1.78,"(1.71, 1.84)",8.52,"(8.27, 8.8)",,
onset-to-hospital-admission,Weibull,PA,8.89,"(8.76, 9.02)",34.62,"(33.44, 35.86)",1.54,"(1.52, 1.56)",9.88,"(9.73, 10.02)",,
onset-to-hospital-admission,Weibull,PB,8.06,"(7.83, 8.31)",32.21,"(29.95, 34.62)",1.44,"(1.4, 1.48)",8.88,"(8.61, 9.16)",,
onset-to-hospital-admission,Weibull,PE,7.45,"(7.32, 7.58)",28.57,"(27.37, 29.81)",1.41,"(1.39, 1.44)",8.18,"(8.04, 8.33)",,
onset-to-hospital-admission,Weibull,PI,7.86,"(7.64, 8.09)",27.26,"(25.48, 29.26)",1.54,"(1.49, 1.58)",8.73,"(8.48, 8.99)",,
